-3648426952709623448,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/Transferring_Prospect_Client_Profiles.htm,Transferring Prospect/Client Profiles (Prospects)
13417695593711741,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/The_NEGX_Frame.htm,The NEGX Frame (Prospect Negotiation Screen) (Prospects)
2082543370342657611,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/The_Modules_Menu.htm,"The 
 Modules Menu (Prospects)"
-3971362845092778509,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/The_ESC_Q_Prospect_Menu__Prospect_Referencing_.htm,The ESC Q Prospect Menu (Cross Referencing) (Prospects)
4702603447456235949,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/The_EPA_Menu.htm,The EPA Menu (Prospects)
8272037105358768856,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/The_Enquire_Amend_Option.htm,"The 
 Enquire/Amend Option (Prospects)"
2598437867954262486,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/The_Delete_Option.htm,"The 
			Delete Option (Prospects)"
7494593677993475914,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/The_CI__Contact_Info__Frame.htm,The CI (Contact Info) Frame (Prospects)
-8579243795526724260,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/Setting_Low_Value_Triggers.htm,Setting Low Value Triggers (Prospects)
-6288547824746388707,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/Sticky_Notes.htm,Sticky Notes (Prospects)
9128858963163258171,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/Request_One_off_Letter.htm,Request - One-off Letter (Prospects)
-8242313050850283340,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/Source_Code_Maintenance.htm,"Source 
 Code Maintenance (Prospects)"
1628541515751886279,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/Starting_The_Prospect_Process.htm,Starting The Prospect Process (Prospects)
-5660049376623332026,https://supportcentre.opengi.co.uk/onlineguides/Subsystems/Prospects/Starting_The_Quote_Process.htm,The Quote Process (Prospects)
